input_index,case_id,statement_source,status,split_supported,child_count,raw_output_count,parsed_output_count,parse_failure_count,checker_accepted_count,merge_success,provider_attempt_count,retry_count,cost_estimate_total,latency_ms_total,models
0,lean_ai_conj_plain,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.003975275,21834,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
1,lean_ai_conj_extra_prop,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.004006175,21633,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
2,lean_ai_conj_chain_to_q,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.005982009999999999,20291,deepseek-ai/DeepSeek-V4-Pro
3,lean_ai_conj_pair_context,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.005156935,41559,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
4,lean_ai_conj_two_irrelevant_facts,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.0015432000000000002,22772,Qwen/Qwen3.6-27B
5,lean_ai_conj_type_predicate,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.006352265,24249,deepseek-ai/DeepSeek-V4-Pro
6,lean_ai_conj_nat_eq,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.0014784,11001,MiniMaxAI/MiniMax-M2.5|Qwen/Qwen3.6-27B
7,lean_ai_conj_nat_reflexive_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.0015978,17572,MiniMaxAI/MiniMax-M2.5
8,lean_ai_conj_bool_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00462164,29181,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
9,lean_ai_conj_list_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.001545,11571,MiniMaxAI/MiniMax-M2.5|Qwen/Qwen3.6-27B
10,lean_ai_conj_option_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.0034121100000000003,20833,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
11,lean_ai_conj_not_context,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.003942744999999999,25835,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
12,lean_ai_conj_false_context,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00397664,20003,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
13,lean_ai_conj_iff_context,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.0041074349999999996,17002,Qwen/Qwen3.6-27B|deepseek-ai/DeepSeek-V4-Pro
14,lean_ai_conj_three_prop_chain,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.003848335,19669,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
15,lean_ai_conj_nat_prop_mix,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.0015609999999999999,11172,Qwen/Qwen3.6-27B
16,lean_ai_conj_type_equality,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.0015056,17699,MiniMaxAI/MiniMax-M2.5|Qwen/Qwen3.6-27B
17,lean_ai_conj_function_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00384201,35202,Qwen/Qwen3.6-27B|deepseek-ai/DeepSeek-V4-Pro
18,lean_ai_conj_predicate_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.0015554,6778,Qwen/Qwen3.6-27B
19,lean_ai_conj_nested_and_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.0015539999999999998,17616,MiniMaxAI/MiniMax-M2.5
20,lean_ai_conj_or_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.005780395,19977,deepseek-ai/DeepSeek-V4-Pro
21,lean_ai_conj_q_equiv_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.0015132,16266,MiniMaxAI/MiniMax-M2.5
22,lean_ai_conj_two_predicates,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00665329,24782,deepseek-ai/DeepSeek-V4-Pro
23,lean_ai_conj_three_nat_eqs,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.0018465,15727,MiniMaxAI/MiniMax-M2.5|Qwen/Qwen3.6-27B
24,lean_ai_conj_dense_context,P ∧ Q,failed,true,2,2,2,0,1,false,2,0,0.0023729,25956,MiniMaxAI/MiniMax-M2.5|Qwen/Qwen3.6-27B
25,lean_ai_iff_plain,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.0033083599999999998,17168,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
26,lean_ai_iff_extra_prop,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.004097745,16349,Qwen/Qwen3.6-27B|deepseek-ai/DeepSeek-V4-Pro
27,lean_ai_iff_forward_chain_noise,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.003569735,17525,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
28,lean_ai_iff_reverse_chain_noise,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.001584,16491,MiniMaxAI/MiniMax-M2.5|Qwen/Qwen3.6-27B
29,lean_ai_iff_pair_context,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.004507955,25703,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
30,lean_ai_iff_or_context,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.0015694,11837,MiniMaxAI/MiniMax-M2.5|Qwen/Qwen3.6-27B
31,lean_ai_iff_nat_noise,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.0015707999999999998,10446,Qwen/Qwen3.6-27B
32,lean_ai_iff_nat_eq_noise,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.0017699999999999999,20120,MiniMaxAI/MiniMax-M2.5
33,lean_ai_iff_type_eq_noise,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.006160015,23468,deepseek-ai/DeepSeek-V4-Pro
