input_index,case_id,statement_source,status,split_supported,child_count,raw_output_count,parsed_output_count,parse_failure_count,checker_accepted_count,merge_success,provider_attempt_count,retry_count,cost_estimate_total,latency_ms_total,models
0,lean_ai_conj_plain,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00016270000000000002,0,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
1,lean_ai_conj_extra_prop,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00016270000000000002,0,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
2,lean_ai_conj_chain_to_q,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00025340000000000003,0,deepseek-ai/DeepSeek-V4-Pro
3,lean_ai_conj_pair_context,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00016270000000000002,0,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
4,lean_ai_conj_two_irrelevant_facts,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.000152,0,Qwen/Qwen3.6-27B
5,lean_ai_conj_type_predicate,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00025340000000000003,0,deepseek-ai/DeepSeek-V4-Pro
6,lean_ai_conj_nat_eq,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00011200000000000001,0,MiniMaxAI/MiniMax-M2.5|Qwen/Qwen3.6-27B
7,lean_ai_conj_nat_reflexive_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,7.2e-05,0,MiniMaxAI/MiniMax-M2.5
8,lean_ai_conj_bool_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00016270000000000002,0,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
9,lean_ai_conj_list_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00011200000000000001,0,MiniMaxAI/MiniMax-M2.5|Qwen/Qwen3.6-27B
10,lean_ai_conj_option_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00016270000000000002,0,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
11,lean_ai_conj_not_context,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00016270000000000002,0,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
12,lean_ai_conj_false_context,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00016270000000000002,0,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
13,lean_ai_conj_iff_context,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00020270000000000002,0,Qwen/Qwen3.6-27B|deepseek-ai/DeepSeek-V4-Pro
14,lean_ai_conj_three_prop_chain,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00016270000000000002,0,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
15,lean_ai_conj_nat_prop_mix,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.000152,0,Qwen/Qwen3.6-27B
16,lean_ai_conj_type_equality,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00011200000000000001,0,MiniMaxAI/MiniMax-M2.5|Qwen/Qwen3.6-27B
17,lean_ai_conj_function_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00020270000000000002,0,Qwen/Qwen3.6-27B|deepseek-ai/DeepSeek-V4-Pro
18,lean_ai_conj_predicate_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.000152,0,Qwen/Qwen3.6-27B
19,lean_ai_conj_nested_and_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,7.2e-05,0,MiniMaxAI/MiniMax-M2.5
20,lean_ai_conj_or_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00025340000000000003,0,deepseek-ai/DeepSeek-V4-Pro
21,lean_ai_conj_q_equiv_noise,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,7.2e-05,0,MiniMaxAI/MiniMax-M2.5
22,lean_ai_conj_two_predicates,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00025340000000000003,0,deepseek-ai/DeepSeek-V4-Pro
23,lean_ai_conj_three_nat_eqs,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00011200000000000001,0,MiniMaxAI/MiniMax-M2.5|Qwen/Qwen3.6-27B
24,lean_ai_conj_dense_context,P ∧ Q,passed,true,2,2,2,0,2,true,2,0,0.00011200000000000001,0,MiniMaxAI/MiniMax-M2.5|Qwen/Qwen3.6-27B
25,lean_ai_iff_plain,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.00016270000000000002,0,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
26,lean_ai_iff_extra_prop,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.00020270000000000002,0,Qwen/Qwen3.6-27B|deepseek-ai/DeepSeek-V4-Pro
27,lean_ai_iff_forward_chain_noise,P ↔ Q,passed,true,2,2,2,0,2,true,2,0,0.00016270000000000002,0,MiniMaxAI/MiniMax-M2.5|deepseek-ai/DeepSeek-V4-Pro
